crimedate,weekday,weekno,month,year,DECEPTIVE_PRACTICE,CRIMINAL_DAMAGE,BATTERY,INTERFERENCE_WITH_PUBLIC_OFFICER,OFFENSE_INVOLVING_CHILDREN,SEX_OFFENSE,OTHER_OFFENSE,THEFT,CRIMINAL_TRESPASS,ROBBERY,MOTOR_VEHICLE_THEFT,PUBLIC_PEACE_VIOLATION,WEAPONS_VIOLATION,BURGLARY,INTIMIDATION,LIQUOR_LAW_VIOLATION,ASSAULT,HOMICIDE,PROSTITUTION,GAMBLING,STALKING,KIDNAPPING,ARSON,OBSCENITY,CONCEALED_CARRY_LICENSE_VIOLATION,PUBLIC_INDECENCY,HUMAN_TRAFFICKING,RITUALISM,DOMESTIC_VIOLENCE,NARCOTICS,CRIMINAL_SEXUAL_ASSAULT,NON_CRIMINAL,TOTAL_CRIMES
2014-05-13,3,20,5,2014,47,75,141,6,5,2,60,187,19,34,18,7,11,53,1,0,49,0,7,1,1,0,0,0,0,0,0,0,0,86,3,0,813
2014-05-14,4,20,5,2014,50,74,118,10,12,4,46,175,26,29,20,6,8,45,0,5,59,1,9,0,0,1,1,0,0,0,0,0,0,85,3,0,787
2014-05-15,5,20,5,2014,54,63,121,1,8,0,55,161,20,27,17,8,8,46,0,0,57,0,4,1,0,1,2,0,0,0,0,0,0,96,3,0,753
2014-05-16,6,20,5,2014,45,78,126,4,5,6,55,196,25,31,25,12,11,52,0,0,41,1,8,0,0,1,1,0,0,0,0,0,0,115,3,0,841
2014-05-17,7,20,5,2014,40,96,156,3,6,7,57,164,13,33,19,9,9,37,0,3,53,2,1,3,0,0,0,0,0,0,0,0,0,86,6,0,803
2014-05-18,1,20,5,2014,25,94,205,6,6,2,47,161,25,35,33,11,16,31,0,0,63,2,1,1,0,1,1,1,0,0,0,0,0,89,3,0,859
2014-05-19,2,21,5,2014,38,86,135,4,7,3,53,173,33,22,20,10,12,39,0,2,56,2,2,0,0,0,2,0,0,0,0,0,0,84,4,0,787
2014-05-20,3,21,5,2014,34,72,150,3,3,2,46,187,19,17,28,15,15,41,0,3,61,1,1,1,0,0,2,0,0,0,0,0,0,59,4,0,764
2014-05-21,4,21,5,2014,33,90,169,5,7,2,57,184,24,20,25,4,10,35,0,5,66,1,7,4,0,1,1,0,0,0,0,0,0,83,1,0,834
2014-05-22,5,21,5,2014,38,79,142,6,4,3,50,181,24,26,17,6,16,41,0,2,54,3,6,4,0,1,2,0,0,0,0,0,0,83,1,0,789
2014-05-23,6,21,5,2014,38,110,141,3,8,1,47,189,15,19,27,8,15,46,0,1,49,1,0,3,0,2,3,0,0,0,0,0,0,76,5,0,807
2014-05-24,7,21,5,2014,38,83,160,2,3,3,37,161,17,29,27,8,12,35,0,4,47,2,2,0,0,1,1,0,0,0,0,0,0,86,1,0,759
2014-05-25,1,21,5,2014,21,119,201,6,5,4,48,140,13,33,30,11,13,34,0,1,59,1,3,2,0,0,1,0,0,0,0,0,0,73,5,1,824
2014-05-26,2,22,5,2014,22,67,193,3,6,5,46,178,16,25,19,9,17,24,0,3,45,3,0,3,1,0,1,0,1,0,0,0,0,90,1,0,778
2014-05-27,3,22,5,2014,39,80,134,5,9,3,57,172,25,26,19,3,3,44,0,2,45,1,7,1,0,0,1,0,0,0,0,0,0,84,4,0,764
2014-05-28,4,22,5,2014,32,73,129,5,10,2,55,169,30,29,19,15,7,36,1,1,77,0,6,0,0,0,11,0,0,0,0,0,0,91,3,0,801
2014-05-29,5,22,5,2014,48,86,142,2,5,2,53,174,17,38,14,12,10,36,0,2,41,4,4,2,0,0,0,0,0,0,0,0,0,83,1,0,776
2014-05-30,6,22,5,2014,51,86,123,4,11,2,55,195,22,32,33,14,14,39,1,0,52,1,7,2,0,0,0,0,0,0,0,0,0,81,3,0,828
