weekday,weekno,crimedate,DECEPTIVE_PRACTICE,CRIMINAL_DAMAGE,BATTERY,INTERFERENCE_WITH_PUBLIC_OFFICER,OFFENSE_INVOLVING_CHILDREN,SEX_OFFENSE,OTHER_OFFENSE,THEFT,CRIMINAL_TRESPASS,ROBBERY,MOTOR_VEHICLE_THEFT,PUBLIC_PEACE_VIOLATION,WEAPONS_VIOLATION,BURGLARY,INTIMIDATION,LIQUOR_LAW_VIOLATION,ASSAULT,HOMICIDE,PROSTITUTION,GAMBLING,STALKING,KIDNAPPING,ARSON,OBSCENITY,CONCEALED_CARRY_LICENSE_VIOLATION,PUBLIC_INDECENCY,HUMAN_TRAFFICKING,RITUALISM,DOMESTIC_VIOLENCE,NARCOTICS,CRIMINAL_SEXUAL_ASSAULT,NON_CRIMINAL,TOTAL_CRIMES
4,11,2001-03-14,47,138,246,1,5,4,93,264,33,46,58,13,11,60,1,9,105,0,13,2,1,3,4,0,0,0,0,0,0,156,4,0,1317
5,11,2001-03-15,52,116,230,0,3,5,99,272,37,46,78,8,8,61,0,4,109,0,6,2,0,0,2,0,0,0,0,0,0,117,3,0,1258
6,11,2001-03-16,45,130,240,0,6,7,93,272,32,48,77,1,5,62,0,2,98,0,14,0,0,5,2,0,0,0,0,0,0,111,6,0,1256
7,11,2001-03-17,28,112,219,2,2,3,71,233,28,39,73,7,6,58,0,3,75,1,14,0,1,3,3,0,0,0,0,0,0,103,4,0,1088
1,11,2001-03-18,24,126,278,1,9,6,85,202,37,45,69,11,13,57,1,4,72,0,13,1,1,0,3,0,0,0,0,0,0,128,5,0,1191
2,12,2001-03-19,46,139,240,0,5,6,90,262,31,37,77,11,9,73,2,6,103,1,18,6,0,1,3,1,0,0,0,0,0,172,5,0,1344
3,12,2001-03-20,42,177,266,0,6,5,98,257,50,42,76,15,15,59,2,5,96,1,24,1,0,2,4,0,0,0,0,0,0,187,3,0,1433
4,12,2001-03-21,53,142,274,0,3,11,94,225,45,37,75,15,17,60,0,5,99,2,20,0,2,4,2,1,0,0,0,0,0,183,4,0,1373
5,12,2001-03-22,56,159,238,0,11,4,88,235,50,37,64,13,10,55,1,5,108,0,21,6,1,5,2,0,0,0,0,0,0,203,2,0,1374
6,12,2001-03-23,52,182,271,0,7,8,96,279,33,53,75,16,15,73,2,13,100,2,21,1,0,5,2,0,0,0,0,0,0,166,9,0,1481
7,12,2001-03-24,25,160,253,0,3,6,92,266,34,55,88,6,8,63,0,1,55,4,16,1,4,3,1,0,0,0,0,0,0,191,3,0,1338
1,12,2001-03-25,19,159,202,1,6,6,100,167,24,45,83,10,8,37,1,4,66,2,29,1,0,1,1,0,0,0,0,0,0,122,8,0,1102
2,13,2001-03-26,40,125,216,2,7,6,85,256,39,36,65,0,7,55,0,1,89,2,12,1,0,0,2,0,0,0,0,1,0,162,6,0,1215
3,13,2001-03-27,46,157,245,1,8,8,100,279,39,56,55,11,13,82,1,6,118,0,16,2,0,3,6,0,0,0,0,0,0,154,3,0,1409
4,13,2001-03-28,49,150,264,0,5,9,104,241,28,37,62,9,13,49,2,2,124,2,18,0,1,1,5,0,0,0,0,0,0,143,3,0,1321
5,13,2001-03-29,53,166,267,2,6,6,78,242,38,41,52,7,17,69,2,7,106,0,32,5,0,2,1,0,0,0,0,0,0,130,8,0,1337
6,13,2001-03-30,41,188,240,1,3,8,96,244,36,66,71,10,8,49,1,12,71,1,36,1,0,1,0,0,0,0,0,0,0,164,2,0,1350
7,13,2001-03-31,34,169,283,1,11,6,65,207,36,52,91,1,7,46,0,7,84,0,10,1,0,2,4,0,0,0,0,0,0,179,9,0,1305
1,13,2001-04-01,50,172,269,1,25,8,124,291,27,39,71,7,11,42,0,3,71,4,9,1,3,2,3,0,0,0,0,0,0,116,10,0,1359
2,14,2001-04-02,51,136,244,0,6,5,105,277,41,49,74,10,8,59,2,7,96,1,9,1,0,0,3,1,0,0,0,0,0,131,6,0,1322
3,14,2001-04-03,43,142,248,2,4,7,110,254,49,42,65,9,13,68,1,3,93,3,15,6,1,1,3,0,0,0,0,0,0,170,1,0,1353
4,14,2001-04-04,49,146,256,3,9,11,109,267,39,32,67,7,7,59,3,7,69,1,17,8,0,2,1,0,0,0,0,0,0,173,3,0,1345
5,14,2001-04-05,39,151,256,0,7,6,75,254,41,39,63,8,7,61,2,8,89,1,17,4,1,1,3,0,0,0,0,0,0,137,4,0,1274
6,14,2001-04-06,39,151,285,0,3,4,92,274,28,45,65,8,10,86,1,4,90,2,38,2,2,2,5,0,0,0,0,0,0,141,4,0,1381
7,14,2001-04-07,24,200,324,1,1,7,62,247,38,42,62,2,10,69,0,9,91,1,24,0,4,2,3,0,0,0,0,0,0,123,6,0,1352
1,14,2001-04-08,22,168,342,3,4,6,75,230,39,60,57,4,10,71,1,3,78,1,31,3,0,2,5,0,0,0,0,0,0,102,2,0,1319
2,15,2001-04-09,35,159,242,2,2,4,85,252,39,51,58,8,15,76,0,3,112,0,23,4,1,1,2,0,0,0,0,0,0,160,4,0,1338
3,15,2001-04-10,50,150,230,1,10,8,87,268,37,51,70,9,10,63,0,2,102,1,25,1,1,0,5,0,0,0,0,0,0,155,5,0,1341
4,15,2001-04-11,48,145,244,0,4,5,93,267,45,45,76,9,15,55,1,5,103,3,13,2,1,1,3,0,0,0,0,0,0,125,3,0,1311
5,15,2001-04-12,65,172,305,1,13,6,93,254,41,39,84,4,13,62,0,6,90,2,34,0,0,1,1,0,0,0,0,0,0,166,5,0,1457
6,15,2001-04-13,35,186,252,0,9,3,78,288,27,40,76,5,13,67,1,9,78,4,13,3,0,2,0,0,0,0,0,0,0,145,2,0,1336
7,15,2001-04-14,31,158,320,1,7,3,57,262,34,51,62,10,14,59,0,10,81,2,22,1,1,2,4,0,0,0,0,1,0,148,6,0,1347
1,15,2001-04-15,19,179,282,2,3,5,74,223,27,46,72,4,8,50,0,4,97,2,13,1,0,4,1,0,0,0,0,0,0,98,12,0,1226
2,16,2001-04-16,54,154,189,2,2,5,69,255,35,33,78,4,6,70,0,2,73,2,12,0,0,1,1,0,0,0,0,0,0,127,3,0,1177
3,16,2001-04-17,46,171,175,0,11,5,91,226,37,38,80,5,10,54,1,10,68,3,12,1,0,1,3,0,0,0,0,0,0,144,2,0,1194
4,16,2001-04-18,50,165,249,1,4,3,95,225,50,48,83,5,10,75,1,4,88,3,17,3,1,1,3,0,0,0,0,0,0,152,2,0,1338
5,16,2001-04-19,50,170,252,0,2,3,63,262,36,44,78,7,8,71,0,2,96,3,12,4,0,1,4,0,0,0,0,0,0,153,2,0,1323
